Combination,P,ET,$\Delta S$,$P-ET-\Delta S$,Q,Diff,\%Diff
CHIRPS-ALEXI-CSR,62239.55,29796.06,68.89,32374.60,20138.63,12235.96,63.94
GPM-ALEXI-CSR,50626.99,29796.06,68.89,20762.03,20138.63,623.40,2.52
TRMM-ALEXI-CSR,50824.84,29796.06,68.89,20959.88,20138.63,821.25,4.19
CHIRPS-CMRSET-CSR,62239.55,29807.83,68.89,32362.83,20138.63,12224.19,64.58
GPM-CMRSET-CSR,50626.99,29807.83,68.89,20750.26,20138.63,611.63,3.16
TRMM-CMRSET-CSR,50824.84,29807.83,68.89,20948.11,20138.63,809.48,4.83
CHIRPS-GLEAM-CSR,62239.55,24616.16,68.89,37554.50,20138.63,17415.87,91.51
GPM-GLEAM-CSR,50626.99,24616.16,68.89,25941.94,20138.63,5803.30,30.08
TRMM-GLEAM-CSR,50824.84,24616.16,68.89,26139.79,20138.63,6001.15,31.76
CHIRPS-MOD16A2-CSR,62239.55,29409.68,68.89,32760.98,20138.63,12622.34,62.95
GPM-MOD16A2-CSR,50626.99,29409.68,68.89,21148.41,20138.63,1009.78,1.53
TRMM-MOD16A2-CSR,50824.84,29409.68,68.89,21346.26,20138.63,1207.63,3.20
CHIRPS-SSEBop-CSR,62239.55,23682.18,68.89,38488.48,20138.63,18349.84,98.00
GPM-SSEBop-CSR,50626.99,23682.18,68.89,26875.91,20138.63,6737.28,36.58
TRMM-SSEBop-CSR,50824.84,23682.18,68.89,27073.76,20138.63,6935.13,38.25
CHIRPS-ALEXI-GFZ,62239.55,29796.06,95.71,32347.78,20138.63,12209.15,63.76
GPM-ALEXI-GFZ,50626.99,29796.06,95.71,20735.22,20138.63,596.58,2.34
TRMM-ALEXI-GFZ,50824.84,29796.06,95.71,20933.07,20138.63,794.43,4.01
CHIRPS-CMRSET-GFZ,62239.55,29807.83,95.71,32336.01,20138.63,12197.38,64.40
GPM-CMRSET-GFZ,50626.99,29807.83,95.71,20723.45,20138.63,584.81,2.98
TRMM-CMRSET-GFZ,50824.84,29807.83,95.71,20921.30,20138.63,782.66,4.65
CHIRPS-GLEAM-GFZ,62239.55,24616.16,95.71,37527.69,20138.63,17389.06,91.32
GPM-GLEAM-GFZ,50626.99,24616.16,95.71,25915.12,20138.63,5776.49,29.90
TRMM-GLEAM-GFZ,50824.84,24616.16,95.71,26112.97,20138.63,5974.34,31.57
CHIRPS-MOD16A2-GFZ,62239.55,29409.68,95.71,32734.16,20138.63,12595.53,62.77
GPM-MOD16A2-GFZ,50626.99,29409.68,95.71,21121.60,20138.63,982.96,1.35
TRMM-MOD16A2-GFZ,50824.84,29409.68,95.71,21319.45,20138.63,1180.81,3.02
CHIRPS-SSEBop-GFZ,62239.55,23682.18,95.71,38461.66,20138.63,18323.03,97.82
GPM-SSEBop-GFZ,50626.99,23682.18,95.71,26849.10,20138.63,6710.46,36.40
TRMM-SSEBop-GFZ,50824.84,23682.18,95.71,27046.95,20138.63,6908.31,38.07
CHIRPS-ALEXI-JPL,62239.55,29796.06,70.94,32372.55,20138.63,12233.91,63.81
GPM-ALEXI-JPL,50626.99,29796.06,70.94,20759.98,20138.63,621.35,2.39
TRMM-ALEXI-JPL,50824.84,29796.06,70.94,20957.83,20138.63,819.20,4.06
CHIRPS-CMRSET-JPL,62239.55,29807.83,70.94,32360.78,20138.63,12222.15,64.45
GPM-CMRSET-JPL,50626.99,29807.83,70.94,20748.21,20138.63,609.58,3.03
TRMM-CMRSET-JPL,50824.84,29807.83,70.94,20946.06,20138.63,807.43,4.70
CHIRPS-GLEAM-JPL,62239.55,24616.16,70.94,37552.46,20138.63,17413.82,91.38
GPM-GLEAM-JPL,50626.99,24616.16,70.94,25939.89,20138.63,5801.25,29.95
TRMM-GLEAM-JPL,50824.84,24616.16,70.94,26137.74,20138.63,5999.10,31.63
CHIRPS-MOD16A2-JPL,62239.55,29409.68,70.94,32758.93,20138.63,12620.30,62.82
GPM-MOD16A2-JPL,50626.99,29409.68,70.94,21146.36,20138.63,1007.73,1.40
TRMM-MOD16A2-JPL,50824.84,29409.68,70.94,21344.21,20138.63,1205.58,3.07
CHIRPS-SSEBop-JPL,62239.55,23682.18,70.94,38486.43,20138.63,18347.79,97.87
GPM-SSEBop-JPL,50626.99,23682.18,70.94,26873.86,20138.63,6735.23,36.45
TRMM-SSEBop-JPL,50824.84,23682.18,70.94,27071.71,20138.63,6933.08,38.12
